,artist,song_name,spotify_track_id
208,The Weeknd,Stargirl Interlude,4EDijkJdHBZZ0GwJ12iTAj
209,Brent Faiyaz,Poison,5NijSs5dAwaIybq1GaRTIe
210,Playboi Carti,Location,3yk7PJnryiJ8mAPqsrujzf
211,$uicideboy$,My Flaws Burn Through My Skin Like Demonic Flames from Hell,6QFQqqYye5lAcnhCALvxKJ
212,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC
213,Morgan Wallen,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y
214,Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6
215,Ariana Grande,Santa Baby,6YJdPrH3i2POzu7hdHIRrb
216,Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh
217,Taylor Swift,Getaway Car,0VE4kBnHJUgtMf0dy6DRmW
218,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp
219,Morgan Wallen,Spin You Around,1yj1ZztSGITJ5Nf4mfH92c
220,Joji,worldstar money (interlude),0baNzeUcPQnQSagpe8T0mD
221,Ricky Montgomery,Mr Loverman,2IVsRhKrx8hlQBOWy4qebo
222,Taylor Swift,Shake It Off,5xTtaWoae3wi06K5WfVUUH
223,Tame Impala,Eventually,5M4yti0QxgqJieUYaEXcpw
224,Beach Bunny,Prom Queen,6MpCaSIOfqBqbMED4kXgNY
225,Pitbull,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r
226,Kanye West,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM
227,Bastille,Pompeii,3gbBpTdY8lnQwqxNCcf795
228,21 Savage,Bank Account,5eqK0tbzUPo2SoeZsov04s
229,ScHoolboy Q,Collard Greens,0zO8ctW0UiuOefR87OeJOZ
230,Khalid,Better,6zeeWid2sgw4lap2jV61PZ
231,Frank Ocean,White Ferrari,2LMkwUfqC6S6s6qDVlEuzV
232,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN
233,Playboi Carti,R.I.P.,3L0IKstjUgDFVQAbQIRZRv
234,Milky Chance,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE
235,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN
236,Jeremih,oui,0PJIbOdMs3bd5AT8liULMQ
237,Thundercat,Them Changes,7CH99b2i1TXS5P8UUyWtnM
238,Taylor Swift,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw
239,Shawn Mendes,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml
240,Thomas Rhett,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n
241,Lil Uzi Vert,Erase Your Social,4uhvMW7ly7tJil31YYscAN
242,Declan McKenna,Brazil,4sNG6zQBmtq7M8aeeKJRMQ
243,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw
